epoch,time(s),train_loss,test_loss,test_error(%)
001,00036,1.259562,0.00125,44.63
002,00034,1.038516,0.00094,31.87
003,00034,0.882586,0.00096,32.42
004,00034,0.836895,0.00077,27.13
005,00034,0.809364,0.00070,23.93
006,00034,0.748154,0.00063,21.78
007,00034,0.726754,0.00066,23.51
008,00034,0.688690,0.00057,19.70
009,00034,0.674122,0.00064,21.45
010,00034,0.700382,0.00051,16.45
011,00034,0.670573,0.00049,16.57
012,00034,0.669243,0.00058,19.63
013,00034,0.661440,0.00053,17.32
014,00034,0.635203,0.00060,20.84
015,00034,0.620911,0.00064,21.39
016,00034,0.583087,0.00064,21.22
017,00034,0.592099,0.00050,16.69
018,00034,0.605271,0.00052,17.84
019,00034,0.624566,0.00054,18.41
020,00034,0.581387,0.00048,15.97
021,00034,0.602071,0.00042,13.90
022,00034,0.622041,0.00054,18.25
023,00034,0.594549,0.00052,17.82
024,00034,0.573123,0.00050,16.80
025,00034,0.550958,0.00047,16.81
026,00034,0.551429,0.00041,14.45
027,00034,0.553925,0.00044,14.60
028,00034,0.576073,0.00047,15.79
029,00034,0.524533,0.00045,15.73
030,00034,0.523711,0.00045,15.08
031,00034,0.497769,0.00047,15.46
032,00034,0.541522,0.00046,15.70
033,00034,0.525145,0.00045,14.44
034,00034,0.536891,0.00046,15.92
035,00034,0.540164,0.00046,15.48
036,00034,0.524191,0.00046,15.68
037,00034,0.528531,0.00041,13.56
038,00034,0.526576,0.00044,14.62
039,00034,0.505619,0.00037,12.31
040,00034,0.503752,0.00043,14.93
041,00034,0.493958,0.00040,13.53
042,00034,0.541595,0.00037,12.45
043,00034,0.517800,0.00046,15.56
044,00034,0.491873,0.00037,12.38
045,00034,0.476213,0.00038,12.79
046,00034,0.499190,0.00037,12.76
047,00034,0.451162,0.00036,12.21
048,00034,0.447788,0.00036,12.26
049,00034,0.494002,0.00035,12.17
050,00034,0.483255,0.00036,12.00
051,00034,0.456174,0.00030,10.01
052,00034,0.429382,0.00035,12.37
053,00034,0.438064,0.00036,12.33
054,00034,0.407022,0.00031,10.18
055,00034,0.449541,0.00036,12.58
056,00034,0.412435,0.00035,11.80
057,00034,0.407970,0.00032,11.00
058,00034,0.430874,0.00033,11.41
059,00034,0.405658,0.00031,10.42
060,00034,0.402718,0.00026,8.72
061,00034,0.377029,0.00028,9.65
062,00034,0.387358,0.00029,9.92
063,00034,0.333212,0.00026,8.83
064,00034,0.359323,0.00025,8.68
065,00034,0.366357,0.00026,8.80
066,00034,0.392255,0.00024,8.23
067,00034,0.393837,0.00026,8.85
068,00034,0.319666,0.00025,8.39
069,00034,0.324338,0.00026,8.72
070,00034,0.364437,0.00026,8.94
071,00034,0.346162,0.00023,7.91
072,00034,0.309474,0.00022,7.77
073,00034,0.299646,0.00022,7.59
074,00034,0.306314,0.00022,7.60
075,00034,0.283034,0.00022,7.63
076,00034,0.288245,0.00023,7.86
077,00034,0.287697,0.00020,6.82
078,00034,0.266508,0.00020,6.81
079,00034,0.241286,0.00020,7.02
080,00034,0.231507,0.00019,6.40
081,00034,0.215571,0.00018,6.01
082,00034,0.212019,0.00019,6.38
083,00034,0.210766,0.00019,6.05
084,00034,0.194501,0.00019,6.35
085,00034,0.189705,0.00018,5.81
086,00034,0.178812,0.00018,6.19
087,00034,0.185270,0.00017,5.65
088,00034,0.168045,0.00016,5.60
089,00034,0.153459,0.00016,5.21
090,00034,0.143154,0.00016,5.22
091,00034,0.142274,0.00015,4.99
092,00034,0.139226,0.00015,5.12
093,00034,0.118265,0.00015,4.80
094,00034,0.122296,0.00015,4.95
095,00034,0.113249,0.00014,4.74
096,00034,0.105879,0.00014,4.73
097,00034,0.112250,0.00014,4.63
098,00034,0.130846,0.00014,4.62
099,00034,0.095418,0.00014,4.58
100,00034,0.107841,0.00014,4.58
101,00000,0.000000,0.00000,10.87
